Language,Set,Project,Files,Total_Lines_wc,Code_Lines_cloc,Comment_Lines_cloc,Blank_Lines_cloc
c,LEARN,ansi_c,160,81086,70625,4132,5981
c,LEARN,gnu_c,550,227513,165937,33461,28115
c,TEST,ansi_c,104,11043,8860,210,1973
cpp,LEARN,CMake-Source,585,302774,244147,24337,34289
cpp,LEARN,Catch2-devel,224,41788,31164,3684,6943
cpp,LEARN,abseil-cpp-master,479,175411,130920,22346,22145
cpp,LEARN,fmt-master,46,26751,18680,4505,3566
cpp,LEARN,json-develop,388,62041,48298,5191,8328
cpp,LEARN,leveldb-main,76,22823,17976,1889,2958
cpp,LEARN,ninja-master,75,26208,19744,3083,3381
cpp,LEARN,protobuf-main,502,294600,239325,23165,32103
cpp,LEARN,re2-main,55,32333,25442,3854,3037
cpp,TEST,Absolute-Cpp-Solutions-master,119,6227,4794,1306,147
cpp,TEST,C-Plus-Plus-master,360,56488,30574,20402,5516
cpp,TEST,cpp-main,300,26806,20436,1096,5060
cpp,TEST,tour-of-cpp-main,68,4747,3530,495,722
haskell,LEARN,aeson-master,126,24884,16782,4091,3898
haskell,LEARN,conduit-master,74,18706,13021,3915,1770
haskell,LEARN,containers-master,74,39967,24777,10405,4785
haskell,LEARN,ghc-master,13309,1104526,639153,280515,173400
haskell,LEARN,gloss-main,0,0,0,0,0
haskell,LEARN,hakyll-master,81,11615,6845,2906,1867
haskell,LEARN,haskell-language-server-master,1163,81042,61442,9644,9422
haskell,LEARN,hid-examples-0.5,79,3519,2642,154,726
haskell,LEARN,hledger-master,175,48620,29602,13066,5941
haskell,LEARN,hmatrix-master,114,20305,12916,3437,3952
haskell,LEARN,lens-master,110,34767,16828,13923,4016
haskell,LEARN,megaparsec-master,42,12246,9079,2201,966
haskell,LEARN,ormolu-master,1023,24085,18388,2433,2657
haskell,LEARN,pandoc-main,364,119338,98431,10654,10254
haskell,LEARN,pipes-main,11,5360,1969,2404,987
haskell,LEARN,scotty-master,31,4548,2859,1041,648
haskell,LEARN,servant-master,186,28348,19033,5369,3873
haskell,LEARN,shellcheck-master,29,19798,15990,1354,2454
haskell,LEARN,vector-master,131,31492,16824,9996,4669
haskell,LEARN,xmonad-contrib-master,348,64449,31423,25045,7981
haskell,LEARN,xmonad-master,30,5443,2996,1575,872
haskell,TEST,LPFP,43,4015,3239,17,742
haskell,TEST,Programming-in-Haskell,18,1317,899,97,321
haskell,TEST,learn-haskell-by-example-main,72,5965,4436,474,819
java,LEARN,commons-lang-master,534,192513,100807,73693,18013
java,LEARN,guava-master,1936,795188,351509,133056,60631
java,LEARN,junit-framework-main,1714,221102,132992,54041,34050
java,LEARN,maven-master,2999,362113,206345,106677,46871
java,TEST,Intro-to-Java-Programming-master,724,47553,28409,10200,5961
java,TEST,Java-master,1528,131880,82929,30979,17972
java,TEST,LearnJava-master,44,4242,3389,91,244
java,TEST,java-main,599,45818,36933,970,7424
javascript,LEARN,acorn-master,79,202182,135400,47678,19106
javascript,LEARN,babel-main,11623,174944,133598,3622,12395
javascript,LEARN,cli-latest,1367,292106,211256,60069,19484
javascript,LEARN,dayjs-dev,286,18586,16272,330,1984
javascript,LEARN,express-master,141,21346,15613,1821,3912
javascript,LEARN,koa-master,82,7737,5455,1053,1229
javascript,LEARN,prettier-main,3730,141382,108845,13949,16760
javascript,LEARN,rxjs-master,148,7557,5852,923,816
javascript,LEARN,socket.io-main,170,29156,18138,2815,2564
javascript,TEST,JavaScript-Crash-Course-Morgan-2024-main,73,4081,2054,1424,622
javascript,TEST,JavaScript-master,729,31172,20503,6859,3810
javascript,TEST,javascript-main,518,38824,26434,3180,4842
php,LEARN,PHP-Parser-master,270,23972,16459,4804,2709
php,LEARN,Slim-4.x,72,5813,3133,1710,970
php,LEARN,Twig-3.x,264,23526,14175,5902,3449
php,LEARN,WordPress-wp-includes,1016,466589,243185,175762,47654
php,LEARN,composer-main,286,69852,43266,16569,10017
php,LEARN,guzzle-7.10,41,6655,3679,2162,814
php,LEARN,monolog-main,121,14944,7850,4983,2111
php,LEARN,orm-3.6.x,453,55158,33502,11858,9798
php,LEARN,phpunit-main,1024,84953,48649,25069,11235
php,LEARN,server-master,5255,778597,485977,165943,96076
php,TEST,DesignPatternsPHP-main,176,4467,3121,350,996
php,TEST,PHP-master,148,11795,7445,2808,1542
php,TEST,php-8-objects-patterns-practice-main,960,30557,22031,2221,6242
php,TEST,php-main,368,33192,19324,9358,4509
python,LEARN,attrs-main,54,20112,11171,4663,4278
python,LEARN,black-main,291,129542,115139,6647,7770
python,LEARN,fastapi-master,931,107291,84886,7663,14634
python,LEARN,flask-main,80,18411,10463,3667,4281
python,LEARN,httpx-master,57,17753,12187,2189,3377
python,LEARN,mypy-master,385,174497,123056,27471,23892
python,LEARN,pip-main,594,169980,119052,26812,24090
python,LEARN,pydantic-main,380,163686,114224,15997,31408
python,LEARN,rich-master,211,51766,41067,4647,6052
python,LEARN,scikit-learn-main,859,424525,230996,122935,70579
python,TEST,ICP,27,6818,3044,2917,864
python,TEST,Python-master,1160,118550,46727,50741,21082
python,TEST,pcc,590,25139,10511,2716,3571
python,TEST,python-main,513,31073,21927,2736,6411
ruby,LEARN,discourse-main,9266,988224,780747,37337,169950
ruby,LEARN,hanami-main,218,31909,20758,5703,5448
ruby,LEARN,jekyll-master,161,22729,16416,2844,3469
ruby,LEARN,nokogiri-main,183,37946,27080,6012,4854
ruby,LEARN,parser-master,87,26959,20582,2398,3979
ruby,LEARN,rake-master,94,12943,9625,1217,2101
ruby,LEARN,rspec-core-main,223,41749,30127,4970,6652
ruby,LEARN,ruby-master,7548,1428362,1159174,73949,195117
ruby,LEARN,ruby_parser-master,12,13872,10816,298,2758
ruby,LEARN,sinatra-main,147,23889,17719,2603,3567
ruby,TEST,ruby-fundamentals-main,40,1323,808,315,233
ruby,TEST,ruby5-code,312,8090,4072,2624,689
ruby,TEST,ruby_koans-master,39,3984,2799,424,764
ruby,TEST,twgr-master,169,2740,2578,12,138
smallbasic,LEARN,all,6221,1749220,1447400,125605,158924
smallbasic,TEST,all,33,2572,2169,177,255
